channel_id,ec_timestamp,tx_estimated_bw_kbps,rx_estimated_bw_kbps,wan_circuit_tx_cir_kbps,wan_circuit_rx_cir_kbps,tx_kbps,rx_kbps
EUT_2,2024-03-08 22:34:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:33:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:32:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:31:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:30:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:29:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:28:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:27:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:26:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:25:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:24:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:23:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:22:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:21:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:20:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:19:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:18:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:17:00.000 +0530,0,0,67000,17000,0,0
EUT_2,2024-03-08 22:16:00.000 +0530,0,0,67000,17000,0,0
EUT_3,2024-03-08 22:54:00.000 +0530,49000,11000,98000,22000,948.6959953,951.3334961
EUT_3,2024-03-08 22:53:00.000 +0530,49000,11000,98000,22000,952.3875369,955.9150743
EUT_3,2024-03-08 22:52:00.000 +0530,49000,11000,98000,22000,949.0993296,971.8753357
